JOB_NAME,JOB_ID,FILE_SIZE,PARALLELISM
JSON_GROUP,05627e2d-08a8-44ad-b796-a3aebccb9732,200 mb,4
CSV_CONTEXT,deade8c1-cb7f-4499-820d-e493573e59b7,200 mb,4
XML_CONTEXT,d748b9b3-9ddc-40b9-a6b9-7ecb69a38d31,200 mb,4
JSON_CONTEXT,ced2eb75-8d8d-43d7-9242-a82e511edb19,200 mb,4
KAFKA_CONTEXT,7259f0ce-5be4-4878-94ed-1549058a5a7c,200 mb,4
KAFKA_GROUP,15d5384c-7cab-4809-822f-a2baeab4f6c3,200 mb,4
CSV_NEO4J,5678bcc5-4b9d-4079-afcd-9e97d512f4bb,200 mb,4
KAFKA_REDIS,d83791f9-445a-4ce0-bd28-a9ef22e7e5d5,200 mb,4
KAFKA_RSOCKET,b14038e7-d39b-490d-ac32-e65589a17aad,200 mb,4
KAFKA_WEBSOCKET,3a20012c-3cad-45e5-bca6-0f0ec546ef12,200 mb,4
KAFKA_MONGO,64cae51c-85e4-40d3-8fe5-72ac815dea91,200 mb,4
XML_MONGO,41f4a88f-c0fe-4a0b-a7e9-91aa6fc8ceca,200 mb,4
JSON_MONGO,3fb7e55e-f6dd-4b93-947a-79198aa205ed,200 mb,4
CSV_MONGO,7f677eaa-b85f-4194-b328-43dc525094b6,200 mb,4
MQTT_CLICKHOUSE,bb045729-54c6-4710-9745-4309010c1dac,200 mb,4
JSON_ELASTIC,925ee656-e03f-41f5-9017-72fda2a21436,200 mb,4
KAFKA_ELASTIC,17b9456b-401b-4865-ba94-fdad241ef2eb,200 mb,4
MQTT_ELASTIC,fd5c853d-6a0c-4a20-8422-eba0f7899faf,200 mb,4
XML_ELASTIC,256636ec-ea92-498a-a7a0-e43f4796be42,200 mb,4
CSV_TIDBAAS,f455a8d4-334b-4424-9790-a6fdac3cb481,200 mb,4
CSV_NEO4JDBAAS,d93018b5-b538-493b-9d8d-26c41a4e40e7,200 mb,4
CSV_ELASTIC,68357e33-9119-4f0a-a641-51d17ae77021,200 mb,4
CSV_MONGODBAAS,bf991878-3491-46e0-9493-4844face98d4,200 mb,4
CSV_REDIS,ecb1fdae-af89-440e-bc02-4dde20fd3f70,200 mb,16
XML_REDIS,0d8b2608-dc42-45b7-8a7a-e570305711d6,200 mb,16
JSON_REDIS,c3fc757d-82b1-4b27-ad4b-9247bf76b099,200 mb,16
CSV_RSOCKET,d6cb8a29-1046-4e45-8a35-389864bcce60,200 mb,16
JSON_RSOCKET,1de00d97-7c94-4533-b11f-1c303b518f87,200 mb,16
XML_RSOCKET,d45682be-8bb1-45b5-9e9f-4b855e419b5e,200 mb,16
CSV_WEBSOCKET,e3056ce8-cfeb-4371-95ba-114190fd8b10,200 mb,16
JSON_WEBSOCKET,e36d84a3-9acd-424e-9d58-d339751738a9,200 mb,16
XML_WEBSOCKET,f3563048-66d7-48c7-9b04-01f28b374d8b,200 mb,16
XML_POSTGIS,be3f049c-abc0-486d-8adc-e8840ddc324a,200 mb,16
JSON_POSTGIS,4ba22d94-530a-41bc-b5d6-fecb7f800033,200 mb,16
CSV_POSTGIS,daa55c9b-244e-4d2a-a8fd-d4626ad49ba5,200 mb,16
CSV_INFLUX,bf3f5512-27ca-481a-8a90-5b351a3b3f19,200 mb,16
XML_INFLUX,8351a23b-03d0-463d-953e-4a53d4ca5c7b,200 mb,16
JSON_INFLUX,acbe9fad-4733-4004-a063-339cb9c58aaa,200 mb,16
CSV_TI,e3c22cf6-6f26-422b-880e-19cfc0ed00f9,200 mb,16
JSON_TI,46dbdabf-6be0-43ac-b419-b67ce753dda1,200 mb,16
XML_TI,a32cb011-cdf7-419e-b9f8-0f13a605fd5c,200 mb,16
KAFKA_TI,90a8c8d7-1e52-40ab-83be-9cdb676ccfd0,200 mb,16
CSV_GROUP,1d82e7e9-f250-4798-98e9-5026e92140b8,200 mb,16
XML_GROUP,35858414-8ba2-47cb-9b7b-4d740e97a097,200 mb,16
JSON_GROUP,26bf208e-9ddb-4322-a0be-fe63b24c59d4,200 mb,16
CSV_CONTEXT,ccec2b10-c992-4eb6-badc-b1d778340d7f,200 mb,16
XML_CONTEXT,3314b37d-4147-4994-b7c7-99e83b7a8446,200 mb,16
JSON_CONTEXT,9800ed45-2f57-46a9-9f1d-9734007a391b,200 mb,16
KAFKA_CONTEXT,c419786f-5be6-4705-94dc-a676087e1337,200 mb,16
KAFKA_GROUP,af3ba376-e798-43c1-85f3-308034e3fbaf,200 mb,16
CSV_NEO4J,ea71dde8-dbd7-4ee9-88a4-a4cfbc2651d0,200 mb,16
KAFKA_REDIS,c9a2622a-d650-42ed-94d3-6e3cb46a6fc3,200 mb,16
KAFKA_RSOCKET,c0c1c229-c2ba-452e-b494-86707c826cc9,200 mb,16
KAFKA_WEBSOCKET,339d9197-eef9-480b-875b-53b1dc3923cf,200 mb,16
KAFKA_MONGO,36426a39-df52-4de4-9621-69c0fb7b44da,200 mb,16
XML_MONGO,11532364-2441-4bf1-a98b-1612c257701a,200 mb,16
JSON_MONGO,b42b08fb-7bab-43cb-a6cb-99820ce69186,200 mb,16
CSV_MONGO,934a4333-abd3-4b39-a33b-e9633d59443d,200 mb,16
MQTT_CLICKHOUSE,e54fce1c-f510-43fe-96f2-b0b6c7679a7d,200 mb,16
JSON_ELASTIC,a40ca8cc-db11-4267-8d16-5e1b2e0b3ecc,200 mb,16
KAFKA_ELASTIC,0f047629-c85a-4321-bfee-6eb02c5a1249,200 mb,16
